*************************
Input filename: input.txt
Output filename: output.txt
There are 3 residents in total.
coordinate	weight
( 5, 1 )	2
( 2, 5 )	4
( 3, 3 )	1
The best post office positon:( 2, 5 )
The total weighted distance:17
*************************
Input filename: input2.txt
Output filename: output.txt
There are 6 residents in total.
coordinate	weight
( 1, 3 )	1
( 3, 9 )	1
( 7, 10 )	1
( 4, 5 )	2
( 9, 8 )	2
( 6, 5 )	4
The best post office positon:( 6, 5 )
The total weighted distance:36
*************************
Input filename: input_assign01_05.dat
Output filename: output.txt
There are 1000 residents in total.
coordinate	weight
( 1980, 1183 )	880
( 1552, 1239 )	539
( 181, 862 )	401
( 1434, 838 )	418
( 145, 258 )	460
( 90, 1404 )	227
( 270, 119 )	368
( 1979, 560 )	352
( 571, 1507 )	924
( 464, 968 )	967
( 621, 182 )	787
( 1949, 140 )	720
( 1078, 517 )	213
( 1650, 1703 )	720
( 1418, 1643 )	381
( 1841, 1235 )	60
( 403, 429 )	933
( 83, 465 )	431
( 308, 1450 )	472
( 1169, 926 )	631
( 770, 126 )	513
( 423, 883 )	364
( 913, 1333 )	928
( 927, 247 )	295
( 1453, 448 )	556
( 1477, 1738 )	153
( 286, 1178 )	348
( 391, 1950 )	389
( 1579, 1063 )	753
( 1151, 294 )	857
( 533, 1516 )	953
( 372, 1616 )	31
( 1683, 918 )	130
( 169, 1681 )	840
( 1930, 1920 )	394
( 299, 1219 )	50
( 1213, 1291 )	545
( 988, 1152 )	654
( 1664, 1985 )	615
( 155, 1067 )	543
( 541, 836 )	276
( 363, 406 )	39
( 1672, 1842 )	446
( 1175, 228 )	709
( 42, 470 )	83
( 1747, 253 )	307
( 1146, 893 )	863
( 1673, 736 )	361
( 336, 983 )	36
( 116, 0 )	347
( 1297, 1021 )	479
( 251, 1306 )	670
( 109, 679 )	728
( 1239, 15 )	755
( 1785, 791 )	659
( 50, 534 )	388
( 1891, 942 )	890
( 1511, 410 )	778
( 448, 1944 )	248
( 225, 81 )	565
( 1956, 1298 )	449
( 1749, 1430 )	359
( 246, 1046 )	811
( 1140, 1647 )	5
( 1392, 1993 )	225
( 995, 1312 )	51
( 132, 1463 )	573
( 507, 137 )	961
( 1154, 812 )	775
( 413, 360 )	204
( 1808, 874 )	776
( 1990, 1722 )	179
( 1535, 1403 )	511
( 1209, 1371 )	871
( 154, 1928 )	861
( 1048, 1676 )	572
( 577, 1044 )	271
( 841, 1769 )	984
( 1823, 1041 )	449
( 207, 1670 )	429
( 222, 416 )	440
( 1812, 215 )	291
( 161, 165 )	732
( 831, 67 )	20
( 1711, 1885 )	668
( 1243, 1844 )	732
( 903, 1555 )	642
( 377, 1293 )	842
( 717, 1411 )	916
( 1272, 938 )	270
( 1097, 1662 )	466
( 593, 306 )	63
( 150, 1560 )	29
( 683, 956 )	150
( 374, 783 )	29
( 212, 1906 )	491
( 997, 622 )	521
( 1777, 1731 )	217
( 824, 899 )	955
( 1016, 907 )	884
( 48, 1599 )	100
( 500, 909 )	424
( 1632, 1474 )	793
( 1829, 1601 )	615
( 1331, 1508 )	684
( 1941, 190 )	558
( 1008, 1568 )	608
( 1925, 482 )	75
( 1953, 221 )	645
( 257, 1873 )	33
( 216, 1094 )	157
( 1735, 699 )	505
( 1177, 505 )	17
( 750, 1779 )	41
( 450, 1891 )	890
( 1204, 159 )	618
( 895, 1278 )	918
( 1965, 374 )	51
( 357, 819 )	399
( 1786, 1863 )	491
( 1345, 1827 )	510
( 1928, 1651 )	169
( 1293, 755 )	51
( 721, 1534 )	161
( 1463, 91 )	940
( 1314, 763 )	423
( 1217, 972 )	472
( 200, 919 )	411
( 333, 881 )	283
( 1093, 376 )	266
( 1591, 713 )	175
( 1445, 1945 )	107
( 1286, 1792 )	798
( 1447, 1340 )	729
( 1356, 1853 )	723
( 1103, 547 )	248
( 1200, 464 )	659
( 1160, 1939 )	276
( 1685, 1829 )	844
( 1663, 1675 )	927
( 1291, 368 )	947
( 1357, 1659 )	837
( 657, 901 )	127
( 876, 354 )	202
( 1668, 1392 )	591
( 1853, 1702 )	621
( 240, 1561 )	712
( 857, 642 )	343
( 733, 1240 )	73
( 1830, 1899 )	34
( 1322, 1073 )	437
( 1997, 724 )	986
( 586, 1115 )	658
( 1158, 1412 )	328
( 936, 1832 )	852
( 1067, 146 )	320
( 352, 1210 )	156
( 1624, 1332 )	553
( 344, 117 )	709
( 1256, 915 )	291
( 503, 1313 )	745
( 1578, 1803 )	375
( 1854, 1202 )	821
( 1506, 264 )	643
( 1799, 1390 )	464
( 616, 1049 )	459
( 268, 941 )	932
( 1034, 1545 )	132
( 566, 1109 )	109
( 961, 243 )	858
( 773, 378 )	373
( 548, 1796 )	711
( 1428, 423 )	237
( 628, 1320 )	438
( 896, 453 )	868
( 1750, 582 )	578
( 775, 124 )	16
( 1441, 1739 )	457
( 549, 1249 )	163
( 1246, 206 )	325
( 425, 216 )	360
( 1986, 1252 )	31
( 1199, 1820 )	846
( 389, 606 )	123
( 969, 1526 )	193
( 178, 1619 )	871
( 771, 1000 )	470
( 1929, 504 )	438
( 1171, 1894 )	783
( 1472, 1387 )	551
( 1318, 809 )	290
( 1789, 1294 )	672
( 1837, 1148 )	586
( 1468, 1677 )	464
( 542, 1705 )	545
( 1095, 185 )	574
( 731, 851 )	543
( 1099, 1102 )	557
( 223, 304 )	440
( 1440, 1524 )	239
( 228, 1163 )	76
( 120, 1529 )	397
( 755, 569 )	242
( 805, 1484 )	591
( 1334, 318 )	705
( 19, 544 )	425
( 1329, 1644 )	76
( 604, 1065 )	700
( 1398, 391 )	256
( 1827, 1587 )	765
( 1396, 240 )	210
( 231, 1337 )	275
( 60, 1328 )	128
( 1035, 51 )	371
( 1282, 944 )	435
( 453, 332 )	115
( 1372, 1947 )	911
( 991, 371 )	986
( 382, 1930 )	47
( 1694, 672 )	246
( 1028, 76 )	972
( 916, 430 )	21
( 1304, 746 )	838
( 1215, 377 )	48
( 523, 869 )	213
( 67, 1924 )	309
( 1860, 250 )	345
( 1848, 31 )	492
( 1815, 96 )	544
( 506, 149 )	323
( 1811, 677 )	346
( 641, 357 )	793
( 1284, 1590 )	981
( 215, 1391 )	65
( 502, 499 )	499
( 1557, 843 )	199
( 703, 1707 )	413
( 617, 1009 )	158
( 428, 236 )	335
( 1358, 1245 )	637
( 751, 171 )	97
( 761, 1419 )	774
( 1310, 1936 )	579
( 776, 7 )	389
( 1476, 79 )	715
( 708, 1402 )	587
( 1780, 657 )	74
( 1627, 265 )	193
( 663, 397 )	111
( 1198, 43 )	212
( 1662, 338 )	764
( 682, 991 )	817
( 631, 808 )	838
( 1201, 1872 )	184
( 1976, 1966 )	124
( 1132, 858 )	133
( 695, 980 )	718
( 1323, 1678 )	305
( 869, 169 )	737
( 1202, 1764 )	447
( 1497, 1558 )	154
( 1470, 23 )	94
( 1244, 618 )	30
( 214, 1996 )	407
( 1364, 1475 )	700
( 267, 20 )	344
( 78, 1786 )	214
( 803, 1665 )	509
( 261, 1417 )	955
( 1851, 611 )	840
( 375, 927 )	740
( 921, 607 )	189
( 1500, 1469 )	740
( 1647, 1800 )	728
( 690, 480 )	255
( 859, 1585 )	234
( 1589, 1566 )	28
( 94, 1389 )	412
( 1375, 1360 )	489
( 1628, 1848 )	913
( 479, 1370 )	439
( 36, 1823 )	443
( 1408, 1336 )	501
( 1231, 750 )	399
( 974, 1242 )	127
( 1043, 1307 )	259
( 1170, 1606 )	829
( 1451, 1908 )	53
( 162, 496 )	915
( 1590, 404 )	913
( 789, 1227 )	598
( 1893, 1620 )	967
( 899, 1014 )	885
( 1901, 1763 )	214
( 1152, 1959 )	79
( 373, 1096 )	228
( 0, 552 )	942
( 1726, 1554 )	264
( 1250, 279 )	137
( 590, 1135 )	626
( 1153, 1048 )	25
( 412, 17 )	869
( 744, 1026 )	165
( 588, 1794 )	43
( 651, 1037 )	994
( 27, 644 )	948
( 1222, 90 )	406
( 1473, 1492 )	905
( 1032, 492 )	802
( 697, 1688 )	861
( 1363, 609 )	618
( 1583, 1086 )	855
( 1373, 1471 )	851
( 17, 1692 )	336
( 625, 321 )	426
( 815, 196 )	171
( 64, 1609 )	29
( 1349, 1103 )	601
( 1940, 1632 )	66
( 1634, 665 )	275
( 881, 1435 )	111
( 955, 1327 )	699
( 66, 1414 )	819
( 1183, 985 )	776
( 302, 917 )	840
( 430, 960 )	477
( 1121, 1132 )	760
( 1658, 744 )	667
( 1278, 905 )	741
( 1407, 1380 )	824
( 454, 1091 )	24
( 1496, 1541 )	930
( 129, 923 )	553
( 1651, 943 )	239
( 1697, 595 )	753
( 320, 1436 )	454
( 940, 1459 )	93
( 424, 840 )	746
( 596, 1710 )	892
( 1254, 46 )	543
( 1912, 95 )	656
( 359, 10 )	707
( 1992, 1376 )	64
( 76, 1461 )	136
( 725, 1330 )	804
( 1499, 620 )	392
( 488, 587 )	576
( 276, 1226 )	98
( 1533, 66 )	385
( 782, 1499 )	855
( 138, 756 )	289
( 388, 602 )	483
( 1384, 773 )	128
( 1814, 1750 )	196
( 1798, 1129 )	216
( 1705, 1467 )	201
( 784, 891 )	816
( 494, 1125 )	445
( 603, 962 )	231
( 1203, 329 )	223
( 354, 539 )	523
( 928, 1451 )	254
( 715, 1241 )	899
( 902, 554 )	429
( 1704, 1055 )	47
( 1498, 1932 )	962
( 1105, 591 )	837
( 65, 205 )	618
( 151, 1608 )	715
( 1723, 1603 )	249
( 1548, 1732 )	953
( 1205, 1090 )	26
( 221, 1773 )	567
( 1298, 820 )	485
( 701, 1443 )	961
( 1739, 251 )	594
( 553, 494 )	859
( 1905, 1912 )	229
( 1344, 1353 )	166
( 1993, 271 )	498
( 1063, 1031 )	868
( 31, 1658 )	392
( 510, 1749 )	540
( 279, 628 )	211
( 51, 411 )	852
( 1114, 1168 )	867
( 1416, 768 )	256
( 1611, 1815 )	130
( 636, 1904 )	82
( 380, 1212 )	480
( 1197, 1088 )	595
( 910, 871 )	569
( 1382, 469 )	646
( 427, 546 )	91
( 1887, 1991 )	723
( 1074, 414 )	732
( 385, 693 )	380
( 1820, 1755 )	172
( 262, 1917 )	124
( 601, 131 )	587
( 1839, 289 )	205
( 1444, 1452 )	228
( 785, 471 )	804
( 1719, 978 )	680
( 418, 1547 )	617
( 468, 1348 )	429
( 1603, 764 )	895
( 342, 1 )	285
( 1226, 1856 )	769
( 329, 272 )	843
( 1701, 1342 )	828
( 524, 1984 )	243
( 399, 761 )	256
( 390, 1302 )	467
( 1190, 799 )	655
( 979, 605 )	258
( 1502, 276 )	757
( 497, 1028 )	944
( 1932, 1111 )	174
( 1890, 352 )	645
( 381, 1415 )	622
( 1360, 19 )	809
( 1429, 384 )	224
( 89, 155 )	14
( 82, 772 )	298
( 1970, 1649 )	457
( 1996, 1565 )	545
( 61, 1432 )	636
( 1399, 740 )	440
( 799, 24 )	448
( 265, 817 )	195
( 1991, 1495 )	289
( 314, 532 )	422
( 24, 1290 )	234
( 1677, 563 )	51
( 113, 1664 )	832
( 678, 1700 )	724
( 1948, 507 )	723
( 1113, 654 )	94
( 1594, 1887 )	620
( 408, 192 )	122
( 1695, 1519 )	814
( 1421, 44 )	287
( 536, 1698 )	208
( 1336, 1099 )	231
( 638, 405 )	474
( 1679, 659 )	369
( 976, 222 )	1
( 1584, 1621 )	677
( 184, 178 )	850
( 911, 443 )	335
( 1038, 366 )	895
( 103, 69 )	585
( 227, 1405 )	803
( 1883, 134 )	271
( 1699, 683 )	811
( 1136, 1582 )	472
( 1478, 1953 )	632
( 1884, 1636 )	272
( 1776, 501 )	4
( 517, 444 )	519
( 1079, 1247 )	875
( 1818, 801 )	773
( 1671, 1819 )	581
( 1916, 1262 )	951
( 1403, 794 )	645
( 1116, 1974 )	578
( 658, 861 )	789
( 1419, 863 )	746
( 557, 600 )	420
